Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,notfound,notfound,01/11/2023,17/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
BHP (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,notfound,notfound,01/11/2023,17/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
BKW,Switzerland,CHE,Electricity Utilities,No,medium,CH0130293662,B76D410,01/11/2023,28/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
BMW,Germany,DEU,Autos,Yes,large,DE0005190003;DE0005190037,5756029;5756030,01/11/2023,15/02/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
BNP Paribas,France,FRA,Services,No,large,FR0000131104,7309681,01/11/2023,05/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
BRF,Brazil,BRA,Food Producers,No,large,BRBRFSACNOR8,2036995,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
BT Group,United Kingdom,GBR,Services,No,medium,GB0030913577,3091357,01/11/2023,27/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
BYD,China,CHN,Autos,No,large,CNE100000296;CNE100001526,6536651;B466322;BD5CQ69,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Baker Hughes,United States of America,USA,Services,No,medium,US05722G1004,BDHLTQ5,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Ball Corp,United States of America,USA,Consumer Goods,No,medium,US0584981064,2073022,01/11/2023,19/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Banco Santander,Spain,ESP,Services,No,large,ES0113900J37,5705946,01/11/2023,05/05/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Bank of America,United States of America,USA,Services,No,large,US0605051046,2295677,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Banpu,Thailand,THA,Coal Mining,No,medium,TH0148A10Z06;DummyISINPU5;DummyISINPU4,BJFHBV6;BKWGX17;BKWGWJ8;BD2YHY3,01/11/2023,27/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Baoshan Iron & Steel,China,CHN,Steel,No,unlisted,CNE0000015R4,6307954;BP3R2Y0,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Barrick Gold,Canada,CAN,Diversified Mining,No,medium,CA0679011084,2024644,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Barry Callebaut,Switzerland,CHE,Food Producers,No,medium,CH0009002962,5476929,01/11/2023,21/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Baxter,United States of America,USA,Other Industrials,No,medium,US0718131099,2085102,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Bayer,Germany,DEU,Services,Yes,large,DE000BAY0017,5069211;5069459,01/11/2023,28/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Beach Energy,Australia,AUS,Oil & Gas,No,medium,AU000000BPT9,6088204,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
Becton Dickinson,United States of America,USA,Consumer Goods,No,large,US0758871091,2087807,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,No,large,US0846701086;US0846707026,2093666;2073390,01/11/2023,01/05/2023,1,unchanged,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Berkshire Hathaway (Services),United States of America,USA,Services,Yes,large,US0846701086;US0846707026,2093666;2073390,01/11/2023,01/05/2023,1,unchanged,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Best Buy,United States of America,USA,Services,No,medium,US0865161014,2094670,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Bharat Petroleum,India,IND,Oil & Gas,No,large,INE029A01011,6099723,01/11/2023,27/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/11/2023,01/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/11/2023,21/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Bodycote,United Kingdom,GBR,Steel,No,small,GB00B3FLWH99,B3FLWH9,01/11/2023,07/02/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Boeing,United States of America,USA,Other Industrials,Yes,large,US0970231058,2108601,01/11/2023,11/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
Bouygues,France,FRA,Services,No,medium,FR0000120503,4002121,01/11/2023,28/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Brenntag,Germany,DEU,Chemicals,No,medium,DE000A1DAHH0,B4YVF56,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
Brickworks,Australia,AUS,Cement,No,small,AU000000BKW4,6315593,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Bridgestone,Japan,JPN,Other Industrials,No,large,JP3830800003,6132101,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Bristol Myers Squibb,United States of America,USA,Other Industrials,No,large,US1101221083,2126335,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Britannia Industries,India,IND,Food Producers,No,large,INE216A01030,BGSQG47,01/11/2023,24/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
British American Tobacco,South Africa,ZAF,Consumer Goods,No,large,GB0002875804,287580,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Broadcom,United States of America,USA,Other Industrials,No,large,US11135F1012,BDZ78H9,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Brookfield Asset Management,Canada,CAN,Services,No,large,CA1125851040,2092599,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Brookfield Renewables,United States of America,USA,Electricity Utilities,No,small,CA11284V1058,BMW8YT2,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Builders FirstSource,United States of America,USA,Other Industrials,No,small,US12008R1077,B0BV2M7,01/11/2023,26/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/11/2023,14/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Bumi,Indonesia,IDN,Coal Mining,Yes,small,ID1000068703,6043485,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Bunge,United States of America,USA,Food Producers,Yes,medium,BMG169621056,2788713,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Buzzi Unicem,Italy,ITA,Cement,No,medium,IT0001347308;IT0001369427,5782206;5782284,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
CAP,Chile,CHL,Steel,No,medium,CLP256251073,2174312,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
CEMIG,Brazil,BRA,Electricity Utilities,No,small,US2044096012,2178938,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/11/2023,15/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
CF Industries,United States of America,USA,Chemicals,No,medium,US1252691001,B0G4K50,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
CITIC (Coal Mining),China,CHN,Coal Mining,No,large,HK0267001375,6196152,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Data,No,No,No
CITIC (Steel),China,CHN,Steel,No,large,CNE0000008J6,6268363,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,Yes,No,No,No
CJ Cheiljedang,South Korea,KOR,Food Producers,No,large,KR7097950000,B2492F5,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
CK Hutchison,Hong Kong,HKG,Other Industrials,No,large,KYG217651051,BW9P816,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,Yes,No,No
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/11/2023,20/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/11/2023,03/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
CNH Industrial,United States of America,USA,Other Industrials,No,large,NL0010545661,BDSV2V0,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
CNOOC,China,CHN,Oil & Gas,Yes,large,HK0883013259,B00G0S5,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
CNX Resources,United States of America,USA,Oil & Gas,No,small,US12653C1080,BF3FTF4,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
COSCO Shipping Energy,China,CHN,Shipping,No,medium,CNE1000002S8;CNE000001BD6,6782045;6344627;BP3R9Y9,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
COSCO Shipping Lines,China,CHN,Shipping,No,unlisted,CNE100000601,B1YQ5Q1,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
COSCO Shipping Specialized Carriers,China,CHN,Shipping,No,unlisted,CNE000001B58,6520535,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
CP ALL,Thailand,THA,Services,No,large,TH0737010Y08,B08YDG0,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
CPFL Energia,Brazil,BRA,Electricity Utilities,No,small,BRCPFEACNOR0,B031NN3,01/11/2023,25/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
CRH,United Kingdom,GBR,Cement,Yes,large,IE0001827041,0182704;4182249,01/11/2023,03/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
CSR,Australia,AUS,Aluminium,No,medium,AU000000CSR5,6238645,01/11/2023,03/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
CSX,United States of America,USA,Other Industrials,No,large,US1264081035,2160753,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
CVS Health,United States of America,USA,Services,No,large,US1266501006,2577609,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Cabot,United States of America,USA,Chemicals,No,small,US1270551013,2162500,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Cahya Mata Sarawak,Malaysia,MYS,Cement,No,small,MYL2852OO001,6182861,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
California Resources,United States of America,USA,Oil & Gas,No,small,US13057Q3056,BMBK002,01/11/2023,31/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Callon Petroleum,United States of America,USA,Oil & Gas,No,small,US13123X5086,BMYVSM0,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Campbell Soup,United States of America,USA,Food Producers,No,medium,US1344291091,2162845,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
Canadian National Railway,Canada,CAN,Other Industrials,No,large,CA1363751027,2180632,01/11/2023,19/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Canadian Natural Resources,Canada,CAN,Oil & Gas,Yes,large,CA1363851017,2171573;BD4DBT1,01/11/2023,16/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Canadian Pacific Railway,Canada,CAN,Other Industrials,No,large,CA13645T1003,2793115,01/11/2023,24/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Canadian Utilities,Canada,CAN,Electricity Utilities,No,small,CA1367178326,2172639,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Canon,Japan,JPN,Consumer Goods,No,large,JP3242800005,6172323,01/11/2023,30/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Capital A Berhad,Malaysia,MYS,Airlines,No,medium,MYL5099OO006,B03J9L7,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Capital Power,Canada,CAN,Electricity Utilities,No,small,CA14042M1023,B61KF83,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Cardinal Health,United States of America,USA,Services,No,medium,US14149Y1082,2175672,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Carlsberg,Denmark,DNK,Consumer Goods,No,large,DK0010181759,4169219,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Carmax,United States of America,USA,Services,No,medium,US1431301027,2983563,01/11/2023,28/04/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Carnival,United States of America,USA,Services,No,medium,PA1436583006,2523044,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Carpenter Tech,United States of America,USA,Steel,No,small,US1442851036,2177504,01/11/2023,14/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Carrefour,France,FRA,Consumer Goods,No,medium,FR0000120172,5641567,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Cascades,Canada,CAN,Paper,No,small,CA1469001053,2179254,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Caterpillar,United States of America,USA,Other Industrials,Yes,large,US1491231015,2180201,01/11/2023,11/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Cathay Pacific Airways,Hong Kong,HKG,Airlines,No,large,HK0293001514,6179755,01/11/2023,03/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Celanese,United States of America,USA,Chemicals,No,medium,US1508701034,B05MZT4,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Cementos Argos,Colombia,COL,Cement,No,large,COD38PA00046,B89Z692,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Cementos Chihuahua,Mexico,MEX,Cement,No,medium,MX01GC2M0006,2946663,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Cemex,Mexico,MEX,Cement,Yes,large,MXP225611567;US1512908898,2406457;2488671,01/11/2023,31/03/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Cenovus Energy,Canada,CAN,Oil & Gas,No,medium,CA15135U1093,B57FG04,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Centrais Eletricas Brasileiras,Brazil,BRA,Electricity Utilities,No,small,BRELETACNOR6,2311120,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
